fen,eval
r2k4/8/ppppbp1p/4p3/4P1R1/7R/n2N4/4K3 b - - 5 34,-975
1nbqkbnr/1ppppppp/8/8/1p2P3/3P1P2/r1P3PP/RNBQKBNR b KQk - 0 5,-1046
rn5r/Rp1k3p/3p1Q2/2P1p3/4P3/8/3b1P2/2B2B1K w - - 1 23,#+5
1n3br1/2B1p1p1/4k3/6p1/2P4P/R2P4/4PK2/1Q3B1b w - - 0 27,+1598
5Qn1/p2k1r2/1pp1pppp/8/2K4P/P1P1P1P1/RB1P4/8 w - - 1 26,+1300
r2kb3/p5B1/p7/2p5/P3P3/4P1K1/R6R/6N1 w - - 4 34,+1215
rnbq4/3pk3/1pp5/p7/1P1P4/b3B2P/P1P2P2/R2K4 w - - 1 19,-1016
8/8/1pn5/p7/3k2P1/4B3/4K1R1/5r2 b - - 7 50,+325
4r3/p2k4/3p3b/7q/1K6/P7/4n3/8 b - - 3 35,#-2
rnbqkbnr/p2ppppp/8/2p5/1P6/1PN5/2PPPPPP/R1BQKBNR b KQkq - 0 4,-1
r4r2/p5n1/3P3N/1k2P1p1/6P1/8/n7/2N1K3 b - - 0 41,-1322
6r1/6R1/2p2pk1/2Pr4/6P1/4B3/1P2KP2/1N3BN1 b - - 0 25,+836
r1bqkbnr/pppn1ppp/8/3pp3/P6P/3PP3/RPP2PP1/2BQKBNR w Kkq - 1 7,-937
Nn3k2/pb1p1p2/8/1PN5/6P1/P7/7R/R1BQ1K2 w - - 5 25,#+7
rn3k1r/1pp4p/p3b3/4pP1p/1P1N3q/7P/P1PK1n2/2R1N2R w - - 2 19,-1307
4r3/p1p2k2/2n2np1/1p2p2p/2P5/5P2/P2K3P/R5NR b - - 0 24,-307
r1bqkbnr/1pppp1pp/2n2p2/p7/2P5/7P/P2PPPP1/RNBQKBNR w KQkq - 1 6,-76
3k4/3r4/b7/6P1/6p1/1P6/1K6/8 b - - 2 40,-1818
2r1kr2/pppb1p2/n1nq2p1/3Np1N1/2P4B/P4P2/2R1P1BP/3QK2R b K - 4 19,+769
1k6/5p2/4pQ2/p7/p5P1/B2P4/3KP3/5BN1 w - - 1 36,#+4
5R2/2pkn3/P7/1K5p/6p1/8/1q6/8 w - - 1 43,-1425
1n6/2p5/5kp1/p7/5PP1/1Pp5/2P1K3/r7 b - - 0 31,-1104
1q2kbnr/2p1ppp1/3p4/7p/1n1P4/5PPN/RP2P3/1NBQKB1R b Kk - 0 12,+936
6n1/2p1k3/1p6/p3P3/2Pr1B1K/P7/6B1/1R6 w - - 5 30,+720
4r1nr/4kQ2/8/8/q2P4/4P3/7P/4KBNR b - - 4 28,-1179
r1bq1br1/pppnpk1p/5pp1/3n4/1P1P1P2/1Q6/PB1KP1PP/RN3BNR w - - 3 9,+350
2r4k/8/2p1PN1n/6pp/1b1P3P/8/6K1/8 w - - 1 36,-798
rnbqkbnr/ppppppp1/8/7p/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,+160
r4b2/p3kB2/5p2/2p4R/n1Q1Pp2/3P4/7R/4K3 b - - 1 32,+1762
rnbqkb1r/p1p1pp2/3p3n/1N4pp/1P5P/5N2/P1PPPPPR/R1BQKB2 b Qkq - 0 7,-134
8/2b5/1p4k1/3p4/8/3R4/8/3K4 w - - 4 48,+8
1rb1kbnr/2Rn2pp/4p3/1Ppp4/1P3pPP/8/2PPPP2/1NBQKBNR b Kk - 0 11,+1265
rnbqkb1r/1ppppp1p/7p/p2P4/8/8/PPP1PPPP/RN1QKBNR w KQkq - 0 4,+79
rn2k1nr/2pB1b2/6P1/7p/p6P/8/P1P3P1/RNN1K1R1 b - - 0 21,+87
3k1bn1/1B4p1/4p3/N5P1/6p1/2n1P3/7r/5K1R b - - 0 29,-669
1n1q2nr/1p1k1p1B/2pp4/r5N1/pPP2p2/P7/1B1PP2P/bN1QK2R b K - 2 15,-687
rnb4r/1p2k1pp/3bNn2/p7/P1p1p2P/5P2/1PPP2PR/RNBQKB2 w Q - 2 11,+715
8/3k4/6P1/8/8/1K6/5nb1/8 w - - 1 49,-526
8/6k1/8/P1p4P/2N4P/8/8/2K5 w - - 8 48,+1468
8/8/3k4/1B4Rp/1P1P4/8/2K4p/8 b - - 5 45,-212
rnb3nr/ppp5/qk4pp/4N3/1P3P2/2N5/P1PPQ1PP/b1B1K2R w K - 0 18,#+1
r1bqk1nr/p3pp1p/6p1/3p4/8/5P1N/PQnPP1PP/bNBK1B1R b kq - 1 12,-1569
1nbk2nr/8/4p2p/p1p3P1/3r2P1/1R2K3/1P1PP3/1NBQ2NR w - - 1 19,+1698
3n3r/3k4/3p1bp1/3n4/3P4/2p5/4K2P/2R5 w - - 0 39,-1549
1r1qk1nr/ppp1p2p/8/2b1n3/P4P2/7b/1PP2PPR/RN2KBN1 b Qk - 0 11,-1812
rnb1kb1r/1R3pp1/p2p3p/8/2Pp2n1/2P2PPN/P2QP2P/2B1KB1R b K - 1 13,+771
rnbqkb1r/pppB1ppp/4p2n/8/8/4P3/PPPP1PPP/RNBQK1NR b KQkq - 0 3,-652
rn1qkbnr/2ppp1p1/b7/pQ5p/1PB1p1P1/5N2/P1PP1P1P/RNB1K2R b KQkq - 2 7,-1145
rn6/p1p1k3/4p2B/1BPpP3/2P4p/N4bPP/8/1RK5 b - - 2 25,+575
1nb5/2pQ1k2/rp2pn2/p1p5/2P2P2/N5P1/P2PP1BP/2B1K2R b - - 1 19,+639
8/8/1k6/3P4/1PP2B1P/3PKB2/R7/8 b - - 4 45,#+6
rnbq1k2/pppp1pp1/8/4p3/P1P5/6P1/1P1PPP2/RNBQKBN1 w Q - 0 8,+1158
r1b2bnr/2p2kp1/p2pp2p/p4p2/2q4P/2PPP1R1/PP3PP1/R1B1KNN1 w Q - 2 13,-251
3qk3/b2p1p2/p6R/2p1p1B1/P5b1/4N3/1r2P3/3K4 w - - 1 30,#+1
4kb2/4p3/7p/3K4/1R6/2B2P2/4B1R1/8 b - - 2 37,+1385
r4b2/1pp1p1r1/n3kp1p/p7/3PPP2/PPq4N/2bBK3/RN6 w - - 2 19,-866
3k4/7N/8/3pB2K/8/2pP4/8/8 w - - 0 50,+881
1n2kbnr/6pp/r7/R1q3N1/8/2N2P2/1PP1P2P/2B1KB1R b K - 1 16,-1051
8/4p3/1r6/5kp1/8/8/3PK3/8 b - - 2 46,-1545
2b2bn1/rppqpkr1/n5pp/p2pPp2/N4P2/1PN5/PBPP2PP/R2QKB1R w KQ - 4 12,+312
7r/pk6/3pp3/nb6/1P1P3B/P3K3/8/RN4N1 w - - 1 31,+390
1n6/8/2p1p1k1/4P3/1n5P/6K1/8/2R5 b - - 8 46,-125
1n6/2r1k3/5p2/p2p4/Pp1P2rP/Q7/2P1K1R1/R4B2 b - - 3 32,+174
8/3p1p2/6k1/2P5/5P2/NK6/1b6/2B4b w - - 0 33,+582
r1bqkb2/pppppppr/2n5/7p/5B2/3P2P1/PPP1PP1R/RN1QKBN1 b Qq - 4 7,+440
r2qkbn1/p1pbppp1/np1p4/2P4P/1P5p/NR6/P2PPP1P/2BQKBNR b Kq - 0 8,+719
1n6/3k4/4p1B1/4B2P/5P2/2p1K3/4PR2/7b w - - 5 46,+1386
3kr3/p7/P7/4Pp2/8/3b1PP1/2PR2K1/2N5 w - - 6 31,+921
rn2k1nr/3p1pp1/3bB3/p1p1p2p/2P1b2P/5P2/PP1PP3/RNB1K1NR w KQkq - 2 10,+147
rnbqkbnr/ppp1pppp/3p4/7P/8/8/PPPPPPP1/RNBQKBNR b KQkq - 0 2,-39
3r2k1/pn1B1r2/7p/5p2/8/2P3P1/P2N4/R1B1K3 w Q - 1 24,+167
4kr2/8/p7/3n1P1r/8/Q7/4K3/4R3 b - - 2 37,+13
4k2r/1p2n1bp/3p1p2/1pp3p1/r7/4pb2/8/2K5 b - - 11 39,#-4
rnb1kb2/pp1q4/2p2pp1/3p1pp1/8/PPP5/1B1PPP2/RN1QK2B w Qq - 0 15,-441
b6k/8/p2B4/P4Q2/R6P/3P4/1P6/1N2K3 w - - 2 43,#+2
8/8/3k3B/1p5b/2n1p2P/5r2/8/4K2R b - - 13 41,-845
4kbn1/8/1p1p4/4p3/1pq2p2/3P4/4P2R/4K3 w - - 0 33,-729
8/8/8/6k1/5NP1/5B2/1K6/8 w - - 1 49,+1041
b2k1b2/8/P4n2/1p6/2qP4/8/1P6/1RB1K3 w - - 0 34,-1283
rnbqkb1r/pppp1ppp/5n2/4p3/7P/7N/PPPPPPP1/RNBQKB1R w KQkq - 0 3,-124
r2k1bn1/3ppp2/p7/1p4p1/4P3/1P6/P1rP1PPR/RNB1KBN1 w Q - 0 11,+1059
8/8/2k5/6B1/8/p7/P2KN3/1R6 b - - 3 43,+1338
1n6/7r/1b6/3P2p1/2kBB2p/8/3P2K1/1N1Q4 b - - 1 38,+1018
1r6/1b4pk/3P1p1n/P1b5/5P2/4R3/P5PP/n3K3 b - - 6 29,-1654
rnb1k2r/1pp1bpBp/4p3/p7/2pQ2P1/5P2/PP2P1BP/RN3KNR w - - 1 12,+1954
8/3kq3/6p1/3pp3/1n4P1/5K1P/1P6/1N5R b - - 4 29,-931
B4n2/5k2/2R5/2b5/2N1p3/1K4PN/1B6/8 w - - 1 47,+1272
1n2kb1r/1b3ppp/2pp4/1p2q3/3PP3/1P4n1/2P2PPP/RN1QK2R w - - 0 18,+883
1rb2bn1/1B2k1p1/3Np1r1/p5p1/P5P1/3KP2P/5P2/R1B4R b - - 2 19,-296
5k1r/3p1ppp/rP6/1Q6/5p2/3K3N/6b1/nN3q2 w - - 3 29,-3582
2b2q2/4k3/3pp3/4B3/PP6/8/8/2K3N1 w - - 1 37,-878
2k2b2/7r/2n2p1n/1bP4p/7P/6KN/1P6/1NB4R b - - 1 28,-860
2k5/8/2p1n1p1/Q1P1P3/8/8/8/1N3K2 b - - 0 41,+1244
3qk1n1/3b3r/4p1p1/3P3p/3P4/NP4P1/P6P/2R1KBNR b - - 1 21,-622
rnbqk1nr/ppppbppp/8/4p3/8/6PP/PPPPPP2/RNBQKBNR w KQkq - 1 3,-19
R1b5/2pp1pr1/3k3n/1pn5/2P2p2/4P2N/2N3PP/4KB1R w - - 1 23,+952
rnbqkbnr/p1pppppp/1p6/8/5P2/3P4/PPPBP1PP/RN1QKBNR w KQkq - 3 4,+91
1r6/p3k3/8/8/1pb5/4K3/P7/8 b - - 0 46,-2190
rq3kr1/4p2p/2B3p1/pp1P1p2/5P2/4P3/PK5P/6NR b - - 1 25,-1025
2b3n1/r1p1bp2/2n4r/1N2k1p1/NP6/4P1P1/P4P1P/1RB1K2R b K - 2 20,-493
rnb1k1nr/1ppp1pbp/p3p1p1/8/3P4/1PP2PKB/P3P2P/RNBQ2NR b kq - 0 9,+1050
rn3r2/p3n1kp/8/1NpQp2P/P3p3/2p1R3/4KPB1/R1b3N1 w - - 0 23,+2369
r1b1kbnr/2p2ppp/ppnp4/6q1/4P3/N1P5/PP1P1PPP/RNBQKB1R w KQkq - 2 7,+306
rnbqkbnr/pp2p1pp/5p2/2pP4/8/7N/PP1PPPPP/RNBQKB1R b KQkq - 0 4,-30
rnbqkbnr/pppppppp/8/8/P7/1P5N/2PPPPPP/RNBQKB1R b KQkq - 0 3,-73
1r2k2r/8/2p2p1B/3p4/8/3b2PB/1P5P/4K2R b - - 0 29,-969
8/2r2k2/1P5p/p5P1/1b2P3/7N/K7/8 b - - 1 36,-566
1rbqk2r/p2ppp2/8/1pp4n/1P4n1/2P5/P1NBP1KP/1R1Q1BNR b k - 0 13,-547
1q3k2/2p3p1/8/2n4b/R4P1p/1P6/8/5K2 w - - 3 34,-1314
3r1n1r/p4p1p/2pp1kpn/P7/2BP1P2/N1P3PP/P5R1/2BK2N1 b - - 2 22,+666
1n1bq3/1k2n3/2pppp2/7r/Q4B1p/P1PP1P2/1P2P3/R3KR2 w - - 4 21,+13
3k1b1r/4n2p/6B1/1P6/P7/2p5/1R2P1K1/4q3 b - - 0 27,-3076
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+35
rnbqkbnr/1p1ppp1p/p1p3p1/8/8/P7/1PPPPPPP/RNBQKBNR w KQkq - 0 4,-19
2kr1bnr/ppp1pp2/2n4p/4P2Q/8/2PP1q2/PP1K1P1P/RN4NR w - - 4 10,+890
rnbqkbnr/1p2pp1p/p2p4/2pP4/5p2/8/PPPNP1PP/R1BQKBNR b KQkq - 1 6,-230
2k2b1r/4pppp/1p6/3N4/3n4/PP3b2/2P4P/R1B2KR1 b - - 2 20,-547
rnbqkbnr/pppppp1p/8/6p1/8/P7/1PPPPPPP/RNBQKBNR w KQkq - 0 2,+172
8/k7/r7/3P3p/8/2B2P2/8/3K4 b - - 2 49,-164
rn3k1r/1p2p3/4b3/2p4P/7P/1BP2pR1/1q3P2/1N2K1N1 b - - 1 22,-2033
1n2k2r/3b4/1pp2p1n/p1P4p/P4N2/3P1PK1/8/3r4 w k - 5 32,-2333
6n1/p7/p1p1bpk1/P3p3/8/3K4/8/4r3 w - - 25 48,-6147
8/7P/8/p7/n2k4/8/8/4K3 w - - 0 46,+569
5k2/8/8/8/p2P1Pp1/P5b1/1R2K3/1NB5 b - - 6 36,+1158
r1b1k2B/1pp1np1p/4p2b/6p1/4P3/1n5P/P1PK1PP1/1R1Q1BNR w q - 1 12,+1627
6n1/5r2/7p/p2p3P/P7/4p3/1KNk4/6b1 w - - 2 49,-1663
6kb/8/2BN1p2/r1p4p/P6P/8/7n/4K3 b - - 1 47,-673
2b1k2r/r2B1ppp/1p1b4/2p5/pP6/4P3/P1PNNPKP/R1BQ1R2 b k - 0 16,+1386
8/8/p6p/b4P2/1k1P2P1/8/8/7K w - - 5 43,-687
4r1kb/pR2p3/8/P6p/P5rR/N7/3P1KP1/2B3N1 b - - 0 27,+108
rnb2k2/pp1p3R/2p1pnp1/b3q3/4P1P1/N2P4/P3K3/4RB2 b - - 11 23,-2298
5b2/8/1k3pPn/3p4/3P4/8/7P/2K5 b - - 1 44,-789
8/8/p7/4Pp1p/1Pk4K/2r2b2/8/8 b - - 0 43,-1441
rnbqkbnr/3ppp1p/ppp3p1/8/1P6/2PP4/P2KPPPP/RNBQ1BNR w kq - 0 5,-49
1r6/p7/1p1kpnp1/1P6/4P3/8/P6r/2R3K1 b - - 1 25,-1933
rnbqkb1r/pppppp1p/5np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,+96
rn4rN/p1Pp2pp/b1k5/2P5/1P6/P2PK3/1B2P2P/RN5R b - - 2 20,+1049
r1bk1b2/pp1p1pp1/n1n1Q3/2p5/2P3P1/2N5/PP1PP3/R1B1K1R1 w - - 1 19,+1358
rn1qk2r/p1pppp1R/b5P1/1p6/1P4P1/4b1P1/P1PPP3/RNBQKBN1 w Qkq - 1 10,#+1
1nbq1b1r/3ppkpp/rp6/p1p5/3Pn3/4P2P/PPP2PPR/R1B1KBN1 b Q - 0 8,-1471
5k1r/3n2br/5q2/8/8/8/8/1N3K2 w - - 0 38,#-4
7k/4pp1r/7p/p7/PP2PP2/1Q1P3P/1b1K3P/RN3B1R b - - 0 18,+1890
5Q2/8/8/P7/5P2/4K1k1/3r4/8 w - - 0 49,#+8
rnq1kbnr/pp4pp/2p2p2/3pp3/1P5P/2P3P1/P2PPP2/RNBQK1NR b KQkq - 0 6,-172
4r2k/1b3p2/4p3/p1Pp2N1/3P4/1R4P1/5P1P/1N2K1R1 w - - 3 28,+1921
1n6/4b1k1/2p5/4p3/4P3/7R/4N1K1/1NR5 w - - 10 40,+1000
5b1r/1r1n2pn/1p6/2pk4/8/K7/8/8 b - - 2 47,-7413
6k1/8/1B6/8/4p3/8/br2P3/4KB2 w - - 1 35,-42
rn3r2/p1p2p1k/5p2/3Pp3/p3q3/b2BP3/2KN4/6R1 w - - 4 22,0
R7/5k2/3p4/8/4R2p/2P5/8/6K1 b - - 1 46,+1190
8/p2k4/B7/P7/pp1P3r/4n2R/3K4/1RB5 b - - 1 36,+421
rnbqkbnr/p3pppp/p7/2pp4/7P/4P3/PPPP1PP1/RNBQK1NR w KQkq - 0 4,-825
2bqkb2/prpppppr/2n2n2/7p/3P4/P1P3PP/1P2PP2/RNB1KBNR b KQ - 0 7,-1108
rn2k3/1b1pBR1Q/2p5/pp5B/3PP3/8/P1P3PP/R3K3 w - - 1 23,#+1
8/n3P3/b1p1k1p1/8/1Pr3P1/3p4/3K4/8 w - - 2 30,0
rn2kb1r/p1p1pp1p/1p4pQ/3p4/1P4B1/B2P2P1/P1P2P1P/RN1K3b b - - 0 15,-867
3k4/P5p1/2P3P1/8/2p2P2/7R/5K2/4b3 w - - 5 43,+1818
1r3B2/p1k1np2/3p2n1/5pP1/1PP5/P2P4/8/R3K3 w Q - 1 25,-525
7Q/8/B2k4/2p3P1/p4p2/5n2/3KN1P1/2B5 w - - 0 35,+2338
4kb1r/rp2p1pp/2n2n2/2Pp4/4PB1q/1P5R/2P2P2/1R2KB2 w k - 2 22,-704
r3k3/p3p3/1NN2p1r/8/b2P4/6P1/1p3P2/3K4 w q - 1 31,-1721
7r/p1p2p2/4k3/1P6/2q5/5K2/8/8 b - - 0 37,#-8
4k3/Q7/8/5B2/P5P1/3R4/1R6/2B1K1N1 w - - 1 30,#+1
rnbqkbnr/pp1ppppp/2p5/6N1/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 2,-80
r1bq1knr/2pppp1p/7b/pN4P1/6P1/7P/n1PPP2R/1RBQKBN1 w - - 0 10,+731
r1bq4/1pk1r3/2p2pQ1/p3p2N/8/P2P1P2/6PR/2K2B2 b - - 0 22,-718
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+51
5n2/4k3/5pp1/1P1P4/3R4/3P2P1/N4K2/6N1 w - - 0 35,+1350
3bk3/2n5/3p1P2/6q1/PPPP4/7N/5P2/1R2K3 w - - 1 38,+919
r2qkbnr/p1ppp2p/1p6/n4p1P/2P2P2/P6p/R2PNKPR/2BQ1B2 w kq - 0 14,+11
1B6/6Q1/4k3/1p2p2r/4P1Pp/N6P/P4PB1/4K1NR w K - 3 27,+7651
4rb1r/1p2k3/6p1/p3nP1p/P6P/1P6/2PnK1P1/RN6 b - - 0 24,-1386
8/3k4/2b5/1B4p1/PB1p4/3P4/2PK4/1N6 w - - 2 41,+991
1r2k1n1/4pp2/pq1P2p1/4P3/P2Q4/R3Kp2/3P4/1Nb5 b - - 2 22,-1244
rn1qk1nr/4pp2/ppp4p/1N1Q3P/8/4P2b/PPPBPP1N/R3KBR1 w Qkq - 1 14,+1324
rnb1kbnr/1pppqp1p/4p3/pP4p1/P7/5P2/2PPP1PP/RNBQKBNR b KQkq - 0 5,+48
rnb1kb2/2pp1p2/7n/p5q1/N1PN1PpR/8/1P1Pr3/1RBQKB2 w q - 0 15,+680
4k3/8/8/1p6/P2R2b1/1P6/n7/4K3 b - - 1 39,+214
R7/2p5/2Pk4/P7/7p/3K4/5P1P/8 w - - 1 41,+1388
8/4k3/2p3R1/5r2/8/8/K6Q/8 b - - 13 45,+1618
rnbqkbnr/ppp1pp1p/6p1/3p4/P5P1/8/1PPPPP1P/RNBQKBNR w KQkq - 0 3,-109
2R3n1/3pkpp1/1p6/3p4/1b6/4K3/2P2P1R/1NB2qN1 w - - 1 18,-267
4kbr1/2P2p1p/6p1/4P3/6K1/8/4b3/8 w - - 9 39,-1817
2rqkbnB/1p3p2/6pp/p1ppp3/4P1P1/NP1P1Q2/R7/4K1NR b - - 1 19,+526
6n1/3b4/5r1b/2p1k2p/1p2p3/8/1K6/6r1 w - - 4 40,#-3
8/6K1/6N1/8/7P/8/k7/8 w - - 6 50,+1761
3R4/4p1k1/b2n4/p7/p5P1/B6P/1b1P4/1N5K w - - 3 33,+775
rnb1N2r/pp4p1/8/1P1p1k1p/5p2/7q/P2PP2P/R1B1KBNR b KQ - 0 17,-489
1k6/8/7R/6P1/P7/1P1B4/2RK4/8 b - - 0 50,+7325
5k2/1r6/n2P2p1/8/2P4P/7N/R7/3K1N2 b - - 0 32,+776
2k5/8/8/Pp6/6K1/2pR4/8/5B2 w - - 0 44,+1304
rnbqkbn1/pppppp2/8/6p1/4P3/8/PPPPBPPr/RNBQK2R w KQq - 0 5,+508
1n6/8/p3kpB1/P1p5/2P5/1P3p1P/6K1/2R5 w - - 0 38,+931
rn1qkbnr/p1p3p1/1p1ppp1p/8/1PPPP3/7N/P4P1P/RNBK1B1R w kq - 0 8,-569
1r5r/1p1b3p/p6B/n7/2k4N/4K1P1/8/RN1R4 b - - 0 28,+509
rnbqkb1r/1p1pnp1p/8/p1p1p3/5pQ1/4P1PN/PPPPB2P/RNB1K2R w KQkq - 0 7,+23
Bn5B/4k3/pp3p1N/8/R7/7P/5P2/1K4NR w - - 1 30,+2072
rnb1kbnr/pppp1ppp/4pq2/8/5P2/4P3/PPPP2PP/RNBQKBNR w KQkq - 1 3,+48
rnbqkbnr/2ppp2p/p7/6N1/P3p3/8/1PPP1PPP/RNBQK2R w KQkq - 0 6,#+1
8/5k2/1p6/2r4p/4p2b/1K4B1/8/8 b - - 7 44,#-8
2rq2nr/p1ppp2p/5k2/3P4/5P2/b3P2P/P1P3P1/R1B1K1NR w KQ - 1 13,-569
rnbqkbnr/ppppp1pp/8/5p2/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,+39
r3kbnr/ppp1pppp/n7/8/1P1q3P/3K2P1/P1PP1P2/RN1Q1BNR w kq - 0 8,+971
rn3k2/p7/p1p3p1/4p1p1/r7/4K3/8/4b3 w - - 4 35,-6892
8/1b5k/3p4/5P2/PP1P1r2/1R5P/2P5/Q2K2N1 w - - 3 32,+1287
4b2k/8/pp1p4/2r5/8/P3K3/4N3/R7 w - - 0 45,-109
3k4/8/8/2p2p2/4R3/8/P4K2/5N2 w - - 0 38,+1070
3k4/2p1r3/1b3p1R/p3p1p1/4P1P1/8/2b5/5K2 w - - 4 38,-1336
4k3/8/1p4n1/1pN5/6P1/P2PK3/5R2/8 b - - 0 44,+740
1n6/4k2n/8/p2Bp2p/1p1pP3/5P2/3K4/8 w - - 3 43,-905
2bq1bnr/2pppk1p/rpn3p1/p7/8/1PPP4/P3PPPP/RNBQKBR1 b Q - 0 7,-490
1n4nr/rb1qpk1p/5ppb/3p4/P4PPP/1P1P3R/2P1PB2/R2QKBN1 w Q - 0 14,+371
2k5/R4R2/8/4bP2/2P3P1/7K/5N2/8 w - - 3 40,#+1
8/2k5/6P1/1p6/8/8/1K3b2/1B3N2 w - - 7 46,+522
Q4b1r/p2k1ppp/8/2P1pn2/q2P4/P6P/1P3P2/RNB1K1N1 b Q - 0 15,+485
8/2r4p/8/pkr3b1/8/6K1/1N6/8 b - - 1 44,-1775
4k3/8/2n1P2n/3PP3/5p1p/b4N1P/5K2/RN6 w - - 1 32,+1280
8/8/3P4/8/4P3/2K2k2/8/1R6 b - - 6 50,+1969
r1bqkNn1/p1pp4/np4pr/1P2pp2/3P2p1/B4P2/P1PKP2P/RN1Q1B1R b q - 0 14,-87
2b2kn1/3p4/3P4/5Pb1/2P2p1p/8/1P3K1P/2R5 b - - 2 29,-667
rnb1k1nr/p1p2p1p/1p5R/P3P3/8/P1P5/3BNPP1/RN2KB2 b Qkq - 4 13,+616
5k2/8/6p1/1P6/2B1P3/1r6/2K5/8 w - - 4 47,+1199
5bR1/p1pn1k2/3pq3/1N6/P7/3P4/4N3/R1BK4 w - - 7 32,+323
8/r1k2p1r/1pp5/R7/4p2P/1KP3n1/1P6/1N3B2 w - - 1 31,-18
rn2k3/1p1b1p2/2p5/p3r2p/P4P2/2N1n3/1PP1PN1P/1R2KB1R w q - 0 18,+776
1nb1k2r/2p4p/1p6/1N1p1pP1/1P1P4/r3K3/2PQ4/B5N1 w k - 0 23,+861
1nb1kbnr/r1pp2pp/5p2/1P2pP2/8/5N2/NPPPQ2P/2B1KB1R b Kk - 1 9,+380
rnbqkb1r/4pppp/3p1n2/2p5/5P2/R1PP3P/1P2P1P1/1NBQKBNR b K - 2 9,+83
2r1n1k1/p7/6P1/2p1p3/2P5/1n2P3/7P/1N1K2R1 w - - 0 26,-312
1rbq1bnr/p1p1kp2/3p2pp/1p6/4n3/2P2PPB/PP1PN2P/R1BQK2R w KQ - 1 10,-36
6k1/8/5r2/pN2K3/P2P4/2P3PB/1P6/1R6 b - - 2 32,+1463
2bqkb1r/1ppnppp1/8/8/7p/N1P4N/PR1nPPPP/2B1KB1R w Kk - 0 10,-529
8/2B1k3/1p6/r7/1P2P3/2P5/8/4K3 b - - 0 35,0
1n3bB1/r3p1pp/b4p2/1Pk2n2/1P2P3/8/3P1KPP/2BQ2NR b - - 0 14,+1374
2k3n1/8/8/p7/P4pp1/1K1P4/8/6r1 w - - 2 43,-1798
2r5/8/2Pk3p/R3p3/4P3/1PK4P/8/2N5 b - - 1 44,+754
6k1/8/8/8/p4p2/5p1K/1n3P2/8 b - - 5 49,-1253
rnbqkbnr/1ppppppp/p7/8/P7/5N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2,0
rn1qkbnr/2ppp3/R6p/5pp1/2B1P3/2P5/1P1P1PPP/1NBQK1NR b Kkq - 0 7,+1165
7r/1p6/7n/1n2k3/7B/7P/P1RP2R1/4K3 b - - 0 44,+657
7R/r3nk2/8/8/8/N1P2PK1/3P3P/N1B4R w - - 5 45,+1913
rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,-20
rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq - 0 1,-26
5N1n/1kp5/3p1Rpp/p3P3/Pn2P3/RPP5/7b/2B3K1 w - - 3 31,+1478
4k3/4b3/8/1p1p1p2/1p6/3K3P/4N1PR/2R2B2 b - - 6 36,+1151
4k3/1n1rr3/6p1/8/1p5K/8/8/8 b - - 1 42,#-10
3r4/2p5/4k3/3Pn3/6pp/NP6/4NK1P/3r4 b - - 0 33,-1149
5k2/4pB2/R4p2/2p5/3r4/4bPP1/4P3/5K2 b - - 2 39,-729
R7/3pkp2/3qp1n1/p5p1/3P2P1/1p1BKP1r/P7/6N1 w - - 2 27,-821
rnbqkbnr/pp1ppppp/8/2p5/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,+15
3qkb2/p2pp2r/R5pn/2pb4/1PP3p1/1P2P2P/3P1P2/1NB2KNR w - - 1 15,-511
r1bq2kr/3n3p/1p1p1npB/p4p2/8/3K1P1N/P1P1P1PP/3Q1B1R w - - 0 15,-737
kn6/5n1p/1p4p1/8/3P1B1P/N1pQ1PP1/2R5/4K3 b - - 2 27,+1796
rnb2bn1/pp3k2/2p3pr/4p3/2p2PPN/3q4/PP2P2P/RNB1KB1R b - - 1 12,-1641
k5rB/8/8/5p1p/p4P2/P7/4K2P/2R5 b - - 2 44,+129
rnbqkbnr/pppp2pp/5p2/4p3/6P1/2N2N2/PPPPPP1P/R1BQKB1R b KQkq - 1 3,-131
4B3/8/4k3/1n6/1B4K1/8/2PN4/8 b - - 8 47,+857
2B5/7k/5R2/P7/3p4/8/4p1P1/4K3 b - - 1 45,+1523
rn1qkb1r/pp3pp1/2pp1n1Q/4p3/3P2bP/8/PPP1PP1P/RNB1KB1R w KQkq - 0 9,-83
8/7k/8/6R1/3P1N2/2P4p/2P5/6K1 w - - 0 45,+2262
2b1kbn1/4p1p1/3B4/3p4/3P4/1P1P1PP1/2r5/1K4R1 b - - 3 25,-875
rn1qkb1r/2p3pR/p1bpp3/5p2/3P4/4KP2/P1P1P1P1/2RQ1BN1 w kq - 1 16,+263
r1b4r/2pp3p/np1k3p/8/pP5K/P1P5/8/6q1 w - - 1 31,#-4
