fen,eval
8/3r4/3p2kp/8/2B2P2/8/2PP1K2/2B5 b - - 1 41,+570
2r1k3/4pp1r/2p4p/Q7/P7/1n1PP2P/b3K3/2B4R w - - 1 28,+796
r4b1r/pq2kppp/4pn2/2nP4/5PbP/P7/1P1BP1PR/RN1QKBN1 b Q - 0 11,-781
2bq1kn1/rppn1pp1/p7/4P3/1P4P1/N1r2P1B/2P1P2P/R3K1NR b KQ - 2 11,-1357
8/6k1/p6p/Pp3P2/6P1/8/1K4P1/4R1N1 w - - 7 39,+2025
3k1b1r/2ppp1Rp/r3q3/8/1PN2p2/B4P1B/P2P1P2/R2K4 w - - 5 17,-503
8/5k2/2BK4/1p4p1/1P6/1n1P4/8/8 w - - 0 50,+773
1n4n1/3r4/pp1k4/1q6/8/P4p2/2P5/3K4 b - - 1 32,#-4
r1bqkb1r/Q2pn1p1/1pp5/5p2/2P4p/4B1PP/bP2PPBR/4K1N1 w kq - 0 14,-775
3r4/8/8/1k1nB3/2p4P/8/3K4/3R4 w - - 0 44,+46
5b2/4p3/3k4/2pp4/6KP/8/3PPq2/6R1 b - - 0 36,-1096
8/k7/8/8/P7/5PP1/b3R3/6K1 w - - 1 42,+1338
rnbqkb1r/pppppp1p/5np1/8/8/N6N/PPPPPPPP/R1BQKB1R w KQkq - 0 3,-70
1rb3q1/6b1/3B2k1/1pP5/6n1/P2P4/1P2P3/R3K3 b - - 0 31,-1456
1r2k3/2pp4/1p2p1p1/8/2P2P2/1PnPP1b1/R2K4/2B1NBN1 b - - 3 28,+306
rnbqkb1r/pppppppp/8/8/5P2/P7/1PPn2PP/RNBQKBNR w KQkq - 0 4,+383
4kb1Q/1p2p3/2p4B/p7/P7/3R1n2/1P6/1N1K1B2 w - - 1 28,#+1
rnbqkb1r/ppppp1pp/5p1n/8/5P2/4P3/PPPP2PP/RNBQKBNR w KQkq - 0 3,+57
4r1nr/2p1p1B1/q2b2P1/3k4/6P1/8/2n2K2/8 w - - 4 32,#-3
rnb1kb1r/pppp1ppp/4p2n/8/8/P2PP3/1PPN1PBP/R1BQK2R b KQkq - 0 6,+958
3qk2r/2p5/r3p2n/p5b1/N1P2P2/P7/3PPK2/RNB2b2 b k - 2 25,-3824
4k2r/1p3n1p/5n2/p4pp1/8/bP2P1pP/2K3r1/7b w k - 2 27,-3744
r1b3r1/p2p2kp/n3p1p1/2p5/1q4pP/3P3B/3BPP2/1R2K1N1 b - - 1 22,#-2
2k5/8/1pn4p/6N1/2p5/2P1r2P/5P2/1K4R1 w - - 0 37,+723
2r4k/8/R7/8/8/8/P7/5K2 w - - 9 48,+1
Bn1qkb2/2pppppr/pp5n/7p/1PP4P/P3P3/3P1P2/RNBQK1NR b KQ - 0 8,+1037
r1b1kbnr/pp1pp1pp/n1p2p2/8/1P6/3PPP1R/P1P3P1/RNBQKB2 b Qkq - 0 7,+914
8/2n1n3/2p5/4rB1p/3KP3/2P2Nk1/1P6/8 b - - 1 32,-787
4Rn2/8/1P6/3k1K2/rB6/1N3P1r/8/6bB w - - 0 44,+102
1r4Qr/3p2pp/pp3k2/1N2pp2/PP3P2/3P3P/4q3/1RBK1B1R w - - 0 19,+1279
rnbqkb1r/pppppppp/8/8/5P2/2N3P1/PPPPP2n/R1BQKBNR w KQkq - 0 4,+686
r1b1k2r/ppp1n2p/4ppp1/8/4P2P/6P1/R3N2R/4KB2 b - - 1 18,-730
n1b5/3p2p1/4kn1p/1p6/8/3p4/8/2K2N2 w - - 2 40,-1460
1n1qkb1r/rp2pppn/2p5/p1Np3p/8/NP2P2b/P1PP1PP1/R1BQKB1R w KQk - 0 9,+498
rn2kbr1/pppqpppp/5n2/3p4/4P1b1/N4N1B/PPPP1P1P/R1BQK1R1 b Qq - 4 6,-837
4k3/4p3/2r5/3pb2p/r7/7b/5K2/8 w - - 0 39,#-3
r1b2B1r/1p1kn2p/3ppp2/p7/P1p2q2/1PPPP2N/R5Q1/1N2KB2 w - - 0 22,+976
2b5/p2p3N/7k/4pp2/P2P1P2/N7/1r2PP2/R3KB2 b Q - 0 29,+875
2bq2r1/1rpp4/Bp2k3/4ppp1/1P3P2/4P1P1/P2P2K1/1RB3N1 w - - 1 23,-866
rn6/p2p1k2/1p1p4/1P6/8/P6P/R2N1P2/3K2NR b - - 9 27,+1080
r2n3r/pppk2p1/8/3p4/8/P2P3P/2P1PPR1/RN1K1B2 b - - 2 14,+726
